m,plateau_m1_mean,plateau_m1_sem,plateau_m3_mean,plateau_m3_sem,reldiff_mean_pct,reldiff_sem_pct,C_mean,C_sem,L_mean,L_sem,lambda2_mean,lambda2_sem,k_mean,k_sem
5,0.04897845370664552,1.8589274108148984e-05,0.07046245065256498,0.00021061818888907138,43.86457111188677,0.43149987438842036,0.04074065197022341,0.0005768181861724776,2.97937951284618,0.0022635624342981445,2.7628949363279944,0.08808133717278879,9.949999999999998,3.298611840155485e-16
10,0.04663999502594834,1.3298207508543996e-05,0.061292652749201815,0.0001224009178298361,31.416591541533133,0.26106504679493947,0.06061903180455596,0.00043508331600034683,2.556357290623957,0.0009647829072742295,7.158000949975612,0.12375514989585057,19.799999999999997,6.59722368031097e-16
15,0.04602754113125023,1.671533792896309e-05,0.0582044370512229,9.24026229920666e-05,26.455521351697524,0.19205452163661518,0.07939398845297047,0.000399748776381525,2.3279789122455785,0.000896039697253303,11.771908487238365,0.24378798298818483,29.549999999999994,1.319444736062194e-15
20,0.04570302387156207,1.4307150657472451e-05,0.05643699449050523,7.001601697037e-05,23.48682347513438,0.16127782417473552,0.09554675083751675,0.00040460334239284527,2.1663094427761096,0.0007006694351312847,15.75300019985568,0.7326058230785133,39.20000000000001,1.319444736062194e-15
25,0.04550385410899503,1.4448857380652558e-05,0.055213545856752824,6.391761323676621e-05,21.338600958063807,0.14776774008628227,0.11018611841652552,0.00035258895439983594,2.0617630964297633,0.00042515124102241944,21.137641313449034,0.5580008064961006,48.75,0.0
30,0.04540562100283711,1.630964956503769e-05,0.0542371606856818,4.29554311186822e-05,19.451104820274235,0.11636969473638563,0.12431525834717495,0.00031539552204516605,1.9980788121454787,0.00027196846044145274,26.16164449326074,0.36588121253866324,58.20000000000002,2.638889472124388e-15
40,0.04526325404287792,1.2739889224679214e-05,0.05306665933323384,3.1170838605224245e-05,17.240284504683668,0.0748087613973752,0.15058587162335166,0.0002571618908300443,1.935205939272606,5.90375829385217e-05,35.0930020355698,0.7908183945762154,76.80000000000001,2.638889472124388e-15
50,0.04518027837046779,1.1162579713150337e-05,0.05209563068060157,3.089521830435546e-05,15.306192203761404,0.06601013728323846,0.17354477611524255,0.00023136186845525218,1.906993126459793,1.8213054646056045e-05,44.98712361685616,0.8024391167657642,95.0,0.0
60,0.04512277351582308,1.2105405043771943e-05,0.05140212154485566,2.446016724343143e-05,13.916332524679092,0.05936034315716161,0.1952667881080114,0.00024281013984936558,1.887384250917584,6.471716257120555e-06,54.62388939121709,1.1824610697336648,112.80000000000003,5.277778944248776e-15
80,0.04506151163363487,1.127891509890442e-05,0.05041910848875868,2.5923580237413383e-05,11.889746846699742,0.06543809602859674,0.23535578692041723,0.0002003445092690631,1.8526559893226564,4.1099884020856676e-07,75.20065769919617,0.6181225213255802,147.19999999999996,5.277778944248776e-15
100,0.04503057741017978,1.1540505573216045e-05,0.04974648047799941,2.569470683105204e-05,10.472844907023733,0.061620577390228554,0.27145052132139313,0.00018764299174901843,1.8198198198198199,0.0,95.76236412981845,0.02355561811057411,180.0,0.0
120,0.0449806633811255,1.312986447872171e-05,0.04925558123193008,2.3031982250362844e-05,9.504136206748166,0.05805623755217544,0.30440435171009,0.00019644854546676808,1.7885885885885886,0.0,115.61087570984442,0.029361516422990373,211.19999999999993,1.0555557888497552e-14
125,0.0449839797892702,1.2716267584711303e-05,0.049127754878048095,2.253604926870839e-05,9.211856532446404,0.054560509436868215,0.31219128070690155,0.0001872808892445564,1.7810310310310318,1.236979440058307e-16,120.30526753503887,0.2677316604117198,218.75,0.0
