p,final_R_mean,final_R_sd,avg_duration_steps
0.0,0.9843000000000001,0.06226328911740185,222
0.05,0.9998,0.0006666666666666673,122
0.1,0.9998,0.0006666666666666673,135
0.15,0.99992,0.0004857567250791245,124
0.2,0.9996,0.0009428090415820644,147
0.25,0.9995599999999999,0.000924634790038476,136
0.3,0.9995400000000001,0.0010192094381371675,125
0.35,0.99948,0.0011234866364235154,108
0.4,0.9994,0.0011891767800211272,120
0.45,0.9994200000000001,0.0010747797519266528,98
0.5,0.9995599999999999,0.0010082488068753955,123
0.55,0.9991599999999999,0.001308248887450379,122
0.6,0.99934,0.0011029803518493241,101
0.65,0.9992200000000001,0.0012356652810808799,110
0.7,0.99908,0.0013156401829182228,125
0.75,0.9991599999999999,0.00121206060454538,119
0.8,0.9992399999999999,0.0013266499161421613,136
0.85,0.99912,0.0016160808060605063,109
0.9,0.9989000000000001,0.0014034589305344752,122
0.95,0.9989199999999999,0.0015418734505055016,112
1.0,0.9994200000000001,0.0010747797519266528,96
