t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd
0,0.9899999999999985,1.4505609600556643e-15,0.010000000000000007,6.973850769498386e-18,0.0,0.0
1,0.9749199999999999,0.00470907140903104,0.024260000000000007,0.004829664229080174,0.0008200000000000006,0.0012092238098144704
2,0.9448399999999998,0.011745379491269699,0.05207999999999999,0.011574685020912375,0.003080000000000002,0.0024023557462027
3,0.8873000000000002,0.023428162281297026,0.10425999999999996,0.022813526025079287,0.008440000000000007,0.0039448726471231245
4,0.7864999999999998,0.04437523651950055,0.19538,0.041810244745236376,0.018120000000000015,0.006462447858453662
5,0.6278400000000002,0.06823588321093058,0.33458,0.06202201955024449,0.03757999999999997,0.010739505095532552
6,0.4265,0.08286894850462763,0.50438,0.07192852512927488,0.06911999999999997,0.016639541563226536
7,0.23626000000000008,0.07468487602634623,0.6448999999999999,0.06085941740493978,0.11883999999999997,0.02226049633251013
8,0.10818000000000001,0.048091743133055156,0.7120000000000003,0.0335182748284387,0.1798200000000001,0.027982815794661907
9,0.04409999999999997,0.023192431715731945,0.7082799999999999,0.02532219850987936,0.24761999999999998,0.03293789074097865
10,0.018640000000000014,0.010482809400599296,0.6663799999999999,0.02758669713078857,0.31498,0.031456874439380486
11,0.008280000000000006,0.005490266869928119,0.6134000000000001,0.029590470756579054,0.37831999999999993,0.030970458390687287
12,0.004480000000000003,0.0035175749222061126,0.5605999999999999,0.029824401913449126,0.43492000000000003,0.030352035526568247
13,0.0025600000000000015,0.002511870806688703,0.5084600000000001,0.030211182624246206,0.4889800000000002,0.03027616324117145
14,0.0018000000000000013,0.0021742292260184355,0.46016000000000007,0.02795621396022535,0.5380399999999999,0.027947974755414613
15,0.0012400000000000009,0.0014982818442631166,0.4183400000000001,0.027449207454842667,0.58042,0.02726346576751689
16,0.0009600000000000006,0.0013174815276722372,0.37882,0.024514839867667376,0.6202200000000001,0.02432755431583495
17,0.0008200000000000004,0.0012742991736002908,0.3425399999999999,0.02330449299897755,0.6566399999999999,0.023208984676132846
18,0.0007800000000000004,0.0012356652810808799,0.30872000000000016,0.022708553098741972,0.6904999999999998,0.02261022384281547
19,0.0007600000000000004,0.0012318992481431907,0.27845999999999993,0.022473068056649226,0.7207799999999999,0.022359586559485205
20,0.0007400000000000004,0.001227792632114539,0.2521600000000001,0.021171125753170646,0.7470999999999997,0.021080653201310907
21,0.0007000000000000003,0.0011503183573395345,0.2273400000000001,0.020334684505528822,0.7719600000000003,0.02023494327377593
22,0.0006800000000000004,0.0011090081108355286,0.20628000000000019,0.018841218515571523,0.79304,0.01875623532685499
23,0.0006800000000000004,0.0011090081108355286,0.1859800000000001,0.017749081637929858,0.8133399999999995,0.017645338755546143
24,0.0006800000000000004,0.0011090081108355286,0.1688800000000001,0.015782153326981834,0.8304400000000003,0.015716117956937174
25,0.0006800000000000004,0.0011090081108355286,0.15286000000000005,0.014576180930032753,0.8464599999999998,0.014486092250392062
26,0.0006600000000000003,0.0011029803518493237,0.13824000000000006,0.013766538263397075,0.8610999999999999,0.013645956221977321
27,0.0006600000000000003,0.0011029803518493237,0.12524,0.012904560308963524,0.8740999999999999,0.012786909341394852
28,0.0006600000000000003,0.0011029803518493237,0.1139,0.012313661625457415,0.8854400000000002,0.012193987589518597
29,0.0006600000000000003,0.0011029803518493237,0.10326,0.012670350341556376,0.8960800000000004,0.012555879141266902
30,0.0006600000000000003,0.0011029803518493237,0.09308000000000004,0.012349849710777372,0.9062600000000005,0.012192579296399516
31,0.0006600000000000003,0.0011029803518493237,0.08331999999999998,0.011631444667387839,0.9160200000000006,0.01152422130851698
32,0.0006600000000000003,0.0011029803518493237,0.07569999999999996,0.011225422086055427,0.9236400000000002,0.011131464187136154
33,0.0006600000000000003,0.0011029803518493237,0.06810000000000001,0.01027451490658593,0.9312400000000005,0.010169393573687919
34,0.0006600000000000003,0.0011029803518493237,0.06179999999999997,0.010286796479865919,0.93754,0.010169691551990432
35,0.0006600000000000003,0.0011029803518493237,0.05585999999999998,0.010270109615537292,0.9434799999999999,0.01012495666532687
36,0.0006600000000000003,0.0011029803518493237,0.05093999999999996,0.010345369334473598,0.9483999999999999,0.010182178925788297
37,0.0006600000000000003,0.0011029803518493237,0.04633999999999995,0.009598211112788494,0.9529999999999995,0.009438798074485383
38,0.0006600000000000003,0.0011029803518493237,0.04166,0.008853715763919853,0.9576799999999995,0.00867235244727156
