p,ABM_final_R_mean,ABM_final_R_sd,ODE_final_R_on_grid,avg_duration_steps
0.0,0.9997999999999999,0.0006324555320336764,0.9412009147279558,186
0.05,0.9998000000000001,0.0006324555320336763,0.938583341178928,97
0.1,1.0,0.0,0.940839514839079,121
0.15,0.9997999999999999,0.0006324555320336764,0.9389808491437911,99
0.2,0.9994,0.001349897115421107,0.9365437724685283,90
0.25,0.9998000000000001,0.0006324555320336763,0.9403043151840115,110
0.3,0.9996,0.0012649110640673528,0.938583341178928,97
0.35,0.9994,0.0009660917830792968,0.9357110143600054,88
0.4,0.9996,0.0008432740427115685,0.938583341178928,97
0.45,0.9987999999999999,0.0013984117975602034,0.9406978517464643,117
0.5,0.9998000000000001,0.0006324555320336763,0.9403043151840115,110
0.55,0.9992000000000001,0.0010327955589886455,0.9393180666494787,101
0.6,0.9992000000000001,0.0013984117975602032,0.9381147854370853,95
0.65,0.9994,0.0009660917830792967,0.9369115938073823,91
0.7,0.9998000000000001,0.0006324555320336763,0.9347297158097165,86
0.75,0.9992000000000001,0.0010327955589886455,0.9369115938073823,91
0.8,0.9979999999999999,0.002309401076758505,0.9389808491437911,99
0.85,0.9986,0.0016465452046971307,0.9411201716434581,139
0.9,0.9987999999999999,0.0016865480854231373,0.9341752954460472,85
0.95,0.9986,0.0016465452046971307,0.9276501590658589,77
1.0,0.9988000000000001,0.0013984117975602032,0.9372504124512084,92
