t,S_mean,S_sd,I_mean,I_sd,R_mean,R_sd,S_ode,I_ode,R_ode
0,0.99,0.0,0.009999999999999998,1.828559098217032e-18,0.0,0.0,0.99,0.01,0.0
1,0.9766,0.0038930136855083856,0.022199999999999994,0.003583914681524164,0.0012000000000000001,0.0013984117975602021,0.9867232295490118,0.012171650703317043,0.0011051197476711354
2,0.9488,0.010163114133418411,0.047799999999999995,0.00891690030846544,0.0034000000000000002,0.0031340424729448422,0.9827516436909064,0.014798853978826168,0.0024495023302673643
3,0.9134,0.019091592099374232,0.07719999999999998,0.018860894287740796,0.0094,0.004993328882953068,0.9779474838287081,0.017969525599057255,0.004082990572234523
4,0.8573999999999998,0.03421565593571329,0.1254,0.03021478666701675,0.0172,0.006124631508189788,0.9721501736436603,0.021784943013798817,0.006064883342540753
5,0.7836000000000001,0.050374596772579744,0.18659999999999996,0.04323630162002502,0.029800000000000004,0.00850881895447306,0.9651746563786638,0.026360054867627988,0.008465288753708044
6,0.6856000000000001,0.07479037371212956,0.267,0.06499401681864433,0.0474,0.012001851708984096,0.9568106599227557,0.0318228670940476,0.011366472983196504
7,0.5633999999999999,0.09946099179522036,0.36439999999999995,0.08532708310443474,0.07220000000000001,0.017624477927650005,0.9468235092801077,0.03831241188238426,0.014864078837507825
8,0.42279999999999995,0.12132673974758316,0.472,0.10014212123000213,0.1052,0.023705601775857867,0.9349572498232082,0.0459747043517425,0.01906804582504923
9,0.2912,0.12787910957879972,0.5588000000000001,0.09950187044584752,0.14999999999999997,0.029363620727393656,0.9209409785303574,0.0549560242434803,0.024102997226162153
10,0.18619999999999998,0.11703541724148672,0.6096,0.07768197274071309,0.2042,0.04329177494372087,0.9044993238150804,0.0653928818147616,0.030107794370157887
11,0.1034,0.08826248731293873,0.6366,0.0417723991809584,0.25999999999999995,0.053954713520795484,0.8853678691473664,0.07739822782114157,0.03723390303149192
12,0.0522,0.05793828133837285,0.627,0.015470401847829739,0.3208,0.05654653933806304,0.863313917165887,0.09104389492493434,0.04564218790917852
13,0.023399999999999997,0.027745670332904593,0.596,0.028110891523077365,0.3806,0.05354167639429224,0.8381621406621997,0.10634006753189815,0.05549779180590199
14,0.008800000000000002,0.010336558636434295,0.5506,0.04184681057805427,0.44060000000000005,0.05073723156289341,0.8098234498243881,0.12321365903311185,0.0669628911424999
15,0.0032000000000000006,0.0041311822359545785,0.5032,0.042334120727585425,0.4936000000000001,0.04613795737905083,0.7783239564682268,0.14148867559474076,0.08018736793703228
16,0.001,0.0019436506316151,0.462,0.044201558544668715,0.5370000000000001,0.04580392996239516,0.7438294113429358,0.1608728453100368,0.0952977433470273
17,0.0004,0.0008432740427115679,0.4218,0.04582527201834766,0.5778,0.046460975261204115,0.7066594865683461,0.1809551865275786,0.11238532690407506
18,0.0004,0.0008432740427115679,0.37960000000000005,0.04070271626207655,0.6200000000000001,0.04134408462323642,0.6672870459689833,0.20121807578421402,0.13149487824680256
19,0.0002,0.0006324555320336759,0.3408,0.040924863401658955,0.659,0.04103386135593112,0.6263187905014752,0.22106605349646732,0.15261515600205727
20,0.0002,0.0006324555320336759,0.307,0.03786819245752298,0.6928,0.03796138388766492,0.5844581629118424,0.23986860701948723,0.17567323006867033
21,0.0002,0.0006324555320336759,0.28239999999999993,0.03412135206387147,0.7174,0.03421565593571326,0.5424546452530311,0.2570118693163597,0.20053348543060914
22,0.0002,0.0006324555320336759,0.2584000000000001,0.026779760184802916,0.7413999999999998,0.02686674937952528,0.5010465007710811,0.27195148860403534,0.22700201062488343
23,0.0002,0.0006324555320336759,0.23500000000000001,0.029803057263009483,0.7647999999999999,0.029921378459036425,0.46090756382278175,0.28425662799249923,0.254835808184719
24,0.0002,0.0006324555320336759,0.2124,0.02578199199268961,0.7873999999999999,0.02587233614843812,0.4226048907602156,0.29363935233416816,0.28375575690561616
25,0.0002,0.0006324555320336759,0.19199999999999998,0.02686592223947985,0.8078,0.026922935286562706,0.386572737180603,0.299965630981728,0.31346163183766895
26,0.0002,0.0006324555320336759,0.17299999999999996,0.02387467277262664,0.8268000000000001,0.023836479978758957,0.3531041481960026,0.3032485610111903,0.34364729079280704
27,0.0002,0.0006324555320336759,0.154,0.024239545283597123,0.8458,0.024211108561521463,0.3223576327421702,0.3036279224015264,0.3740144448563033
28,0.0002,0.0006324555320336759,0.1392,0.0225920339943087,0.8606,0.02258908290893341,0.29437462681292026,0.3013414324317153,0.4042839407553644
29,0.0002,0.0006324555320336759,0.1264,0.024144012370219934,0.8734,0.02400092590806541,0.26910267404519267,0.29669335036712496,0.4342039755876823
30,0.0002,0.0006324555320336759,0.11140000000000001,0.02190991657776096,0.8884000000000001,0.021782765868660705,0.2464204565964422,0.2900243143260857,0.46355522907747204
31,0.0002,0.0006324555320336759,0.1028,0.02085292412215717,0.897,0.020768565991260302,0.2261605926839768,0.2816861984252393,0.49215320889078384
32,0.0002,0.0006324555320336759,0.09119999999999998,0.018310895360109755,0.9086000000000001,0.01823427785487787,0.20812939550122378,0.2720222979369229,0.5198483065618533
33,0.0002,0.0006324555320336759,0.08339999999999999,0.015056929006643786,0.9164000000000001,0.014990367277392223,0.19212233180787386,0.2613534631881232,0.546524205004003
34,0.0002,0.0006324555320336759,0.076,0.014391355429948599,0.9238,0.014343407312536745,0.17793517539775405,0.2499696206913558,0.5720952039108902
35,0.0002,0.0006324555320336759,0.06780000000000001,0.01351377897637157,0.9320000000000002,0.013432961119739894,0.16537182560168742,0.23812534709370434,0.5965028273046084
36,0.0002,0.0006324555320336759,0.06,0.01346600658448277,0.9398,0.013480850616089935,0.1542490036150445,0.22603876170686266,0.6197122346780929
37,0.0002,0.0006324555320336759,0.054400000000000004,0.013525284963110144,0.9453999999999999,0.013434615323442948,0.14439881453893214,0.21389255811064642,0.6417086273504214
38,0.0002,0.0006324555320336759,0.049999999999999996,0.011813363431112904,0.9498,0.011717034133640147,0.13566974002106044,0.20183647267234459,0.662493787306595
39,0.0002,0.0006324555320336759,0.046799999999999994,0.010549354903921324,0.953,0.010466878978738398,0.12792651831813864,0.1899905276215067,0.6820829540603547
40,0.0002,0.0006324555320336759,0.0416,0.01130584902704004,0.9581999999999999,0.011213087591441242,0.12104940306450108,0.17844854756693437,0.7005020493685645
